date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,previous_day_close,previous_day_high,previous_day_low,previous_day_open,previous_day_volume,day_of_week,numerical_sentiment,mean_sentiment_probability,percent_positive,percent_negative,percent_neutral
2026-04-14,662.49,666.26,639.3705,643.22,17817956,662.49,666.26,639.3705,643.22,17817956,0.0,1.0,634.53,635.0,624.4,629.5,9538931.0,2,0.0576923076923076,0.8186983311405549,0.173076923076923,0.1153846153846153,0.7115384615384616
2026-04-15,671.58,678.5,664.22,667.0,14952577,671.58,678.5,664.22,667.0,14952577,0.0,1.0,662.49,666.26,639.3705,643.22,17817956.0,3,-0.0117647058823529,0.7884957040057463,0.2117647058823529,0.2235294117647059,0.5647058823529412
2026-04-16,676.87,677.58,667.75,675.99,9544835,676.87,677.58,667.75,675.99,9544835,0.0,1.0,671.58,678.5,664.22,667.0,14952577.0,4,0.0491803278688524,0.8063956469785972,0.1967213114754098,0.1475409836065573,0.6557377049180327
2026-04-17,688.55,691.52,675.13,678.6,16283480,688.55,691.52,675.13,678.6,16283480,0.0,1.0,676.87,677.58,667.75,675.99,9544835.0,5,0.0,0.7966666114635956,0.1794871794871795,0.1794871794871795,0.6410256410256411
2026-04-20,670.91,683.38,668.0,681.36,12533951,670.91,683.38,668.0,681.36,12533951,0.0,1.0,688.55,691.52,675.13,678.6,16283480.0,1,0.1764705882352941,0.8216331180404214,0.2352941176470588,0.0588235294117647,0.7058823529411765
2026-04-21,668.84,676.2,667.33,671.0,8660100,668.84,676.2,667.33,671.0,8660100,0.0,1.0,670.91,683.38,668.0,681.36,12533951.0,2,0.0714285714285714,0.8143365026584694,0.1964285714285714,0.125,0.6785714285714286
2026-04-22,674.72,678.38,669.75,674.355,9215603,674.72,678.38,669.75,674.355,9215603,0.0,1.0,668.84,676.2,667.33,671.0,8660100.0,3,-0.0681818181818181,0.827227769927545,0.2045454545454545,0.2727272727272727,0.5227272727272727
2026-04-23,659.15,669.56,653.05,663.7,11666981,659.15,669.56,653.05,663.7,11666981,0.0,1.0,674.72,678.38,669.75,674.355,9215603.0,4,-0.2676056338028169,0.8291265674879853,0.1408450704225352,0.4084507042253521,0.4507042253521127
2026-04-24,675.03,680.67,653.8401,660.32,13348279,675.03,680.67,653.8401,660.32,13348279,0.0,1.0,659.15,669.56,653.05,663.7,11666981.0,5,-0.0306122448979591,0.8150253828082766,0.2040816326530612,0.2346938775510204,0.5612244897959183
2026-04-27,678.62,682.5,670.84,670.995,12805222,678.62,682.5,670.84,670.995,12805222,0.0,1.0,675.03,680.67,653.8401,660.32,13348279.0,1,-0.1616161616161616,0.810035951811858,0.1313131313131313,0.2929292929292929,0.5757575757575758
2026-04-28,671.34,678.18,665.625,674.24,10606755,671.34,678.18,665.625,674.24,10606755,0.0,1.0,678.62,682.5,670.84,670.995,12805222.0,2,-0.2129629629629629,0.82351711999487,0.1203703703703703,0.3333333333333333,0.5462962962962963
2026-04-29,669.12,674.25,663.8084,668.91,18947464,669.12,674.25,663.8084,668.91,18947464,0.0,1.0,671.34,678.18,665.625,674.24,10606755.0,3,-0.0496453900709219,0.805413673955498,0.2340425531914893,0.2836879432624113,0.4822695035460992
2026-04-30,611.91,620.85,600.0,619.32,52764984,611.91,620.85,600.0,619.32,52764984,0.0,1.0,669.12,674.25,663.8084,668.91,18947464.0,4,-0.0164835164835164,0.8160077439887183,0.2857142857142857,0.3021978021978022,0.412087912087912
2026-05-01,608.745,618.88,606.11,614.69,21404028,608.745,618.88,606.11,614.69,21404028,0.0,1.0,611.91,620.85,600.0,619.32,52764984.0,5,0.028169014084507,0.7885956608913314,0.2535211267605634,0.2253521126760563,0.5211267605633803
2026-05-04,610.41,614.0,602.7501,607.935,16203902,610.41,614.0,602.7501,607.935,16203902,0.0,1.0,608.745,618.88,606.11,614.69,21404028.0,1,0.109375,0.7985552316531539,0.203125,0.09375,0.703125
2026-05-05,604.96,614.35,600.36,613.31,17171301,604.96,614.35,600.36,613.31,17171301,0.0,1.0,610.41,614.0,602.7501,607.935,16203902.0,2,-0.0232558139534883,0.8328059038450552,0.1976744186046511,0.2209302325581395,0.5813953488372093
2026-05-06,612.88,619.95,598.1,601.05,19915460,612.88,619.95,598.1,601.05,19915460,0.0,1.0,604.96,614.35,600.36,613.31,17171301.0,3,0.0588235294117647,0.8136236378375221,0.2205882352941176,0.1617647058823529,0.6176470588235294
2026-05-07,616.81,624.98,613.5401,614.72,12307372,616.81,624.98,613.5401,614.72,12307372,0.0,1.0,612.88,619.95,598.1,601.05,19915460.0,4,-0.0923076923076923,0.8425633187477405,0.1692307692307692,0.2615384615384615,0.5692307692307692
2026-05-08,609.63,616.77,606.0601,615.2,13556963,609.63,616.77,606.0601,615.2,13556963,0.0,1.0,616.81,624.98,613.5401,614.72,12307372.0,5,-0.0833333333333333,0.8353344748417536,0.125,0.2083333333333333,0.6666666666666666
2026-05-11,598.86,604.9069,598.0801,604.57,15940622,598.86,604.9069,598.0801,604.57,15940622,0.0,1.0,609.63,616.77,606.0601,615.2,13556963.0,1,0.1538461538461538,0.82837041753989,0.2307692307692307,0.0769230769230769,0.6923076923076923
2026-05-12,603.0,603.745,592.6,594.815,11351559,603.0,603.745,592.6,594.815,11351559,0.0,1.0,598.86,604.9069,598.0801,604.57,15940622.0,2,-0.1111111111111111,0.82595723370711,0.1388888888888889,0.25,0.6111111111111112
2026-05-13,616.63,619.9,596.6601,598.83,14634394,616.63,619.9,596.6601,598.83,14634394,0.0,1.0,603.0,603.745,592.6,594.815,11351559.0,3,-0.1290322580645161,0.8126070730147823,0.2258064516129032,0.3548387096774194,0.4193548387096774
2026-05-14,618.43,623.73,615.0,616.0,10651173,618.43,623.73,615.0,616.0,10651173,0.0,1.0,616.63,619.9,596.6601,598.83,14634394.0,4,-0.0317460317460317,0.8348488476541307,0.1428571428571428,0.1746031746031746,0.6825396825396826
2026-05-15,614.23,621.1999,609.31,613.99,13272567,614.23,621.1999,609.31,613.99,13272567,0.0,1.0,618.43,623.73,615.0,616.0,10651173.0,5,-0.0784313725490196,0.8231091370769575,0.0392156862745098,0.1176470588235294,0.8431372549019608
2026-05-18,611.21,615.59,603.69,609.105,13772443,611.21,615.59,603.69,609.105,13772443,0.0,1.0,614.23,621.1999,609.31,613.99,13272567.0,1,-0.12,0.8354162800312043,0.1,0.22,0.68
2026-05-19,602.61,613.93,600.55,608.92,11749947,602.61,613.93,600.55,608.92,11749947,0.0,1.0,611.21,615.59,603.69,609.105,13772443.0,2,-0.0344827586206896,0.8056609193826544,0.1724137931034483,0.2068965517241379,0.6206896551724138
2026-05-20,605.06,608.0,597.81,600.755,11217028,605.06,608.0,597.81,600.755,11217028,0.0,1.0,602.61,613.93,600.55,608.92,11749947.0,3,-0.3508771929824561,0.868920812481328,0.1052631578947368,0.4561403508771929,0.4385964912280701
2026-05-21,607.38,609.6,594.8083,600.0,13476078,607.38,609.6,594.8083,600.0,13476078,0.0,1.0,605.06,608.0,597.81,600.755,11217028.0,4,-0.2253521126760563,0.7870784338930963,0.1408450704225352,0.3661971830985915,0.4929577464788732
2026-05-22,610.26,614.81,606.95,607.88,11688623,610.26,614.81,606.95,607.88,11688623,0.0,1.0,607.38,609.6,594.8083,600.0,13476078.0,5,-0.1590909090909091,0.8202647959644144,0.2045454545454545,0.3636363636363636,0.4318181818181818
2026-05-26,612.34,614.47,605.3001,608.89,12234166,612.34,614.47,605.3001,608.89,12234166,0.0,1.0,610.26,614.81,606.95,607.88,11688623.0,2,-0.0625,0.8279802488783995,0.1875,0.25,0.5625
2026-05-27,635.255,638.4999,609.0,609.395,23143594,635.255,638.4999,609.0,609.395,23143594,0.0,1.0,612.34,614.47,605.3001,608.89,12234166.0,3,-0.037037037037037,0.810235799462707,0.1851851851851851,0.2222222222222222,0.5925925925925926
2026-05-28,635.29,643.0,629.31,639.495,16772379,635.29,643.0,629.31,639.495,16772379,0.0,1.0,635.255,638.4999,609.0,609.395,23143594.0,4,-0.0833333333333333,0.8158446807000372,0.125,0.2083333333333333,0.6666666666666666
2026-05-29,632.51,634.5,623.35,633.5,19806536,632.51,634.5,623.35,633.5,19806536,0.0,1.0,635.29,643.0,629.31,639.495,16772379.0,5,-0.119047619047619,0.8222349953083765,0.119047619047619,0.238095238095238,0.6428571428571429
2026-06-01,600.47,635.7499,599.53,630.4,29138805,600.47,635.7499,599.53,630.4,29138805,0.0,1.0,632.51,634.5,623.35,633.5,19806536.0,1,-0.1470588235294117,0.8490054239245022,0.088235294117647,0.2352941176470588,0.6764705882352942
2026-06-02,597.63,608.88,596.68,603.24,18251964,597.63,608.88,596.68,603.24,18251964,0.0,1.0,600.47,635.7499,599.53,630.4,29138805.0,2,0.1724137931034483,0.826570071023086,0.2758620689655172,0.1034482758620689,0.6206896551724138
2026-06-03,622.98,624.15,600.27,603.0,23020056,622.98,624.15,600.27,603.0,23020056,0.0,1.0,597.63,608.88,596.68,603.24,18251964.0,3,0.0377358490566037,0.814479094631267,0.1886792452830188,0.1509433962264151,0.660377358490566
2026-06-04,627.57,642.4,622.43,623.67,21469248,627.57,642.4,622.43,623.67,21469248,0.0,1.0,622.98,624.15,600.27,603.0,23020056.0,4,-0.1891891891891892,0.8272462616095672,0.081081081081081,0.2702702702702703,0.6486486486486487
2026-06-05,593.0,629.145,582.91,623.46,30091610,593.0,629.145,582.91,623.46,30091610,0.0,1.0,627.57,642.4,622.43,623.67,21469248.0,5,-0.2121212121212121,0.7917362812793616,0.0909090909090909,0.303030303030303,0.6060606060606061
